blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,collat_change_token_name,collat_change_amt,action,auth_acc,obligation_acc,market
1636605313,106291304,4AeSAC8YjXYSXvcrbbyHsuSpNhqAEWtsP4SLWMWYNsJCd2m5Jq1tmHmyku83mc9eQjeHvy7jx5fTybafWYbiv6P8,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,111.470146,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636605391,106291456,4gyJGnuGYsoPXFiQbENnw1qDHDnQYf43t4WssFbnNKsmvC42jTJENpkqsJ11UXwY6rWvD4RikrJ7P7Jxdjnb86aA,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.10179099999999999,cBTC,0.10145799999999999,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636606582,106293837,tHXhcdxBHYwbqgfb8auugNhFa4j6jrG2B3bn86C6ZiNUfiNJ8YmZmvGNH7dKLGAVKf44WViConLSqE1epx5S2KA,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,110.60251,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636606658,106293988,DFDubQPgbA383zCbnghJ35Tvbfy8jGqiwqLgVVoRhQmqwvA9Vg5BYtE1HAoW9Re2A2SqdJT9jbdXp63HMZyhs6Q,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.100701,cBTC,0.10037199999999999,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636645545,106368683,LLTFczTfdB2nuzV7DpXNmpt4uxMLzTvqUHxUR7qrWsNLmUthzBiJHTBoCsQexzHjUoYvdBgsHdoeW8Swg7oh4zL,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,SOL,-3.5155463410000003,cSOL,3.5071241470000003,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636646522,106370497,3ERUGoyM3z3N56QQDuxqLtuaAAcCf4v9B9pFJfwovQpikae1gvdrd9TLT8wnXqr91FZySQHV2trwDBd89Ly6ShR1,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,SOL,-3.468266668,cSOL,3.459954976,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636646618,106370680,2igkFb3rm8N1cNKHff5XAXJr5xLbBFgkk9KypESrLpzTVD7wVBsFofYFxQUMj6ciyAVLnRSXJQWDA6FsaWA6Naig,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,41.706224,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636646717,106370864,2ydAGQ62YTy5ZHWzLqEQfPg3wZejd9FNQ1zPLfNPeRA31F2pj3SW5ZTcXTvMShVhDDHizDNgBpSAThs1oz92ZFWr,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,SOL,-10.320957616000001,cSOL,10.296221795000001,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636675759,106426038,333D3jT2uUTx2koAak9qdp8b5CG1irLXfnbo94xbf4zKc5Z6KhVbb25kYxHMCbXcXQBp9TnyfWhF5px4TnuHoGTU,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,33.67237,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636676017,106426528,58AypTWorG68eyYVV55A98Vd55CTuwtGK95jQA1dFCvCpe3tJ5Z7gYAZKxtaE8Z3sTS4dBT8Y5DQYSfyuHLzZX77,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,soETH,-0.21035199999999998,csoETH,0.209232,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
